draw,m_env_seed,arm,seed,auc,r_task,r_geo,rho,recon_err,status
16,900016,baseline_ppo,0,5.678744712290521,0.18195954957350502,0.448670946820639,,0.0,ok
16,900016,so,0,8.445926274809484,0.14523611944295092,0.8525231689659257,1.0000009536743164,0.0,ok
16,900016,sl,0,7.906932712562185,0.15705196431147236,0.7671866270147886,2.4504594802856445,0.0,ok
16,900016,gl,0,7.978383524980724,0.15888754255540047,0.7732560334565739,2.4502859115600586,8.881784197001252e-16,ok
16,900016,sym,0,6.313590885477767,0.15134873317381564,0.5738019186368057,95765.32421875,0.0,ok
16,900016,baseline_ppo,1,5.6337488753978615,0.1767277674519695,0.45132173540828135,,0.0,ok
16,900016,so,1,8.78593455304709,0.15293050470668898,0.8844312368740639,1.0000008344650269,0.0,ok
16,900016,sl,1,7.678071443449693,0.14597108980354206,0.755579867498468,2.776859760284424,0.0,ok
16,900016,gl,1,7.774801890565683,0.15773034216813211,0.750101356982626,2.541933298110962,8.881784197001252e-16,ok
16,900016,sym,1,6.194809483321745,0.1420934442482481,0.5731051420245008,9816.3154296875,0.0,ok
16,900016,baseline_ppo,2,5.790338747190602,0.18185686392196268,0.4630095426198716,,0.0,ok
16,900016,so,2,8.265533362018123,0.13973178469131609,0.83784216223564,1.0000009536743164,0.0,ok
16,900016,sl,2,7.963046668060147,0.15245416223991504,0.7814788483163964,2.881128668785095,0.0,ok
16,900016,gl,2,7.828748222514848,0.15200825076061963,0.7647132208605608,2.694087505340576,0.0,ok
16,900016,sym,2,6.456377278173959,0.14850893078450256,0.5965620198309732,1064.480712890625,0.0,ok
17,900017,baseline_ppo,0,6.508893767394829,0.1788398502148138,0.5586296548407524,,0.0,ok
17,900017,so,0,8.652287218603243,0.1440771269581804,0.8809264411243299,1.0000008940696716,0.0,ok
17,900017,sl,0,8.083058785414176,0.15255763783334006,0.7963937287624304,2.1530566215515137,0.0,ok
17,900017,gl,0,8.053122232509208,0.15033247113052692,0.7961623669009034,2.2728301286697388,0.0,ok
17,900017,sym,0,6.73740278552134,0.15389341786835758,0.6234440962669516,2766.2730712890625,0.0,ok
17,900017,baseline_ppo,1,6.639550687006346,0.1814966698721106,0.5718591992607961,,0.0,ok
17,900017,so,1,8.733885765984708,0.15859781437178272,0.8697835017160203,1.0000009536743164,0.0,ok
17,900017,sl,1,7.996591163178637,0.1565907416616995,0.780269336627703,2.4121874570846558,8.881784197001252e-16,ok
